Sample_name	Species	Read_1	Read_2
ES-C-ST002-25AUG14-0040E	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040E_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040E_2.fastq.gz
ES-C-ST002-25AUG14-0040I	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040I_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040I_2.fastq.gz
ES-C-ST002-25AUG14-0040K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-25AUG14-0040K_2.fastq.gz
ES-C-ST002-27APR15-0082B	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-27APR15-0082B_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-27APR15-0082B_2.fastq.gz
ES-C-ST002-27APR15-0082C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST002-27APR15-0082C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST002-27APR15-0082C_2.fastq.gz
ES-M-ST001-03FEB15-0063D	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063D_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063D_2.fastq.gz
ES-M-ST001-03FEB15-0063I	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063I_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063I_2.fastq.gz
ES-M-ST001-03FEB15-0063J	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063J_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063J_2.fastq.gz
ES-M-ST001-03FEB15-0063K	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063K_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063K_2.fastq.gz
ES-M-ST001-03FEB15-0063L	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063L_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063L_2.fastq.gz
ES-M-ST001-03FEB15-0063M	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063M_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03FEB15-0063M_2.fastq.gz
ES-M-ST001-03MAR15-0067C	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067C_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067C_2.fastq.gz
ES-M-ST001-03MAR15-0067I	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067I_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067I_2.fastq.gz
ES-M-ST001-03MAR15-0067J	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067J_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067J_2.fastq.gz
ES-M-ST001-03MAR15-0067K	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067K_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAR15-0067K_2.fastq.gz
ES-M-ST001-03MAY16-0152D	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152D_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152D_2.fastq.gz
ES-M-ST001-03MAY16-0152I	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152I_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152I_2.fastq.gz
ES-M-ST001-03MAY16-0152K	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152K_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03MAY16-0152K_2.fastq.gz
ES-M-ST001-03NOV15-0137B	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137B_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137B_2.fastq.gz
ES-M-ST001-03NOV15-0137D	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137D_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137D_2.fastq.gz
ES-M-ST001-03NOV15-0137I	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137I_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137I_2.fastq.gz
ES-M-ST001-03NOV15-0137J	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137J_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137J_2.fastq.gz
ES-M-ST001-03NOV15-0137K	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137K_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137K_2.fastq.gz
ES-M-ST001-03NOV15-0137L	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137L_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137L_2.fastq.gz
ES-M-ST001-03NOV15-0137M	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137M_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-03NOV15-0137M_2.fastq.gz
ES-M-ST001-05JAN16-0143I	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-05JAN16-0143I_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-05JAN16-0143I_2.fastq.gz
ES-M-ST001-08MAR16-0147A	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147A_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147A_2.fastq.gz
ES-M-ST001-08MAR16-0147C	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147C_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147C_2.fastq.gz
ES-M-ST001-08MAR16-0147J	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147J_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147J_2.fastq.gz
ES-M-ST001-08MAR16-0147K	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147K_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-08MAR16-0147K_2.fastq.gz
ES-M-ST001-13OCT14-0050B	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-13OCT14-0050B_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-13OCT14-0050B_2.fastq.gz
ES-M-ST001-13OCT14-0050E	E_faecalis	E_faecalis_368/all_reads/ES-M-ST001-13OCT14-0050E_1.fastq.gz	E_faecalis_368/all_reads/ES-M-ST001-13OCT14-0050E_2.fastq.gz
